,GID_1_41,year,grp_usd
135,ARG.1_1,2008,146222927872.56714
136,ARG.1_1,2009,129379117559.37077
137,ARG.1_1,2010,165531152641.08392
138,ARG.1_1,2011,203731890517.7588
139,ARG.1_1,2012,220117109905.12943
140,ARG.1_1,2013,225258139081.431
141,ARG.1_1,2014,203356316493.0852
142,ARG.1_1,2015,225333821664.94766
143,ARG.1_1,2016,191342124788.37128
144,ARG.1_1,2017,212771952663.4949
145,ARG.1_1,2018,172036781820.70935
146,ARG.1_1,2019,146626304405.13333
147,ARG.4_1,2003,2662046435.621328
148,ARG.4_1,2004,6711760427.37456
149,ARG.4_1,2005,7949896948.8331995
150,ARG.4_1,2006,9142444591.2858
151,ARG.4_1,2007,9908496652.26996
152,ARG.4_1,2008,11770822989.791248
153,ARG.4_1,2009,10933188458.28836
154,ARG.4_1,2010,12702096073.200241
155,ARG.4_1,2011,14687300703.69828
156,ARG.4_1,2012,14928143162.20232
157,ARG.4_1,2013,14956106913.87053
158,ARG.4_1,2014,13685855022.51231
159,ARG.4_1,2015,14966408871.5448
160,ARG.4_1,2016,11755367520.69272
161,ARG.4_1,2017,12664227110.830591
162,ARG.4_1,2018,12254275582.12212
163,ARG.4_1,2019,10882118733.61092
164,ARG.5_1,1993,
165,ARG.5_1,1994,
166,ARG.5_1,1995,
167,ARG.5_1,1996,
168,ARG.5_1,1997,
169,ARG.5_1,1998,
170,ARG.5_1,1999,
171,ARG.5_1,2000,
172,ARG.5_1,2001,
173,ARG.5_1,2002,
174,ARG.5_1,2003,
175,ARG.5_1,2004,
176,ARG.5_1,2005,
177,ARG.5_1,2006,
178,ARG.5_1,2007,
179,ARG.5_1,2008,
180,ARG.5_1,2009,
181,ARG.6_1,1993,27269931450.138077
182,ARG.6_1,1994,29014110160.17276
183,ARG.6_1,1995,26769800454.91983
184,ARG.6_1,1996,26895569221.605446
185,ARG.6_1,1997,27987048248.112503
186,ARG.6_1,1998,30145866693.386078
187,ARG.6_1,1999,27388360407.155712
188,ARG.6_1,2000,27073173124.06409
189,ARG.6_1,2001,25346447615.17433
190,ARG.6_1,2002,10748623301.608835
191,ARG.6_1,2003,12625989251.517126
192,ARG.6_1,2004,14517416651.726862
193,ARG.6_1,2005,17439047903.863407
194,ARG.6_1,2006,19852163383.884186
195,ARG.6_1,2007,25602119260.633167
196,ARG.6_1,2008,31888855074.3692
197,ARG.6_1,2009,29233758711.572983
198,ARG.6_1,2010,35677231436.939255
199,ARG.6_1,2011,43298103120.733315
200,ARG.6_1,2012,44624644703.37201
201,ARG.6_1,2013,48338467556.88328
202,ARG.6_1,2014,43896757651.01961
203,ARG.6_1,2015,47117409519.30972
204,ARG.6_1,2016,40921607574.863434
205,ARG.6_1,2017,44977029893.3868
206,ARG.6_1,2018,35139733469.64756
207,ARG.6_1,2019,30618444444.876537
208,ARG.7_1,1993,4539977578.3732815
209,ARG.7_1,1994,4841567706.4708805
210,ARG.7_1,1995,5133324551.635611
211,ARG.7_1,1996,4881765650.07768
212,ARG.7_1,1997,5152184617.654976
213,ARG.7_1,1998,5074524843.52478
214,ARG.7_1,1999,5140287909.740592
215,ARG.7_1,2000,4949526730.452111
216,ARG.7_1,2001,4576620973.177293
217,ARG.7_1,2002,1611288826.206012
218,ARG.7_1,2003,1880781652.357881
219,ARG.7_1,2004,2272171716.835492
220,ARG.7_1,2005,2795162788.274241
221,ARG.7_1,2006,3189895761.6768203
222,ARG.7_1,2007,3716787764.60994
223,ARG.7_1,2008,4479718495.50833
224,ARG.7_1,2009,4361838820.8555
225,ARG.7_1,2010,4700274751.714681
226,ARG.7_1,2011,5489484968.95032
227,ARG.7_1,2012,5859991251.93083
228,ARG.7_1,2013,5909565996.03366
229,ARG.8_1,2004,4254770833.83438
230,ARG.8_1,2005,5002125041.02426
231,ARG.8_1,2006,5493589899.01897
232,ARG.8_1,2007,6999562937.122065
233,ARG.8_1,2008,8942411327.001951
234,ARG.8_1,2009,8097455631.67827
235,ARG.8_1,2010,9511956926.421328
236,ARG.8_1,2011,11939182906.176825
237,ARG.8_1,2012,12654879044.378046
238,ARG.8_1,2013,13623402250.88448
239,ARG.8_1,2014,12599240782.5923
240,ARG.8_1,2015,14187586569.10239
241,ARG.8_1,2016,11209079489.970402
242,ARG.8_1,2017,12620502155.35928
243,ARG.8_1,2018,9856064512.653587
244,ARG.10_1,2005,1826014153.805869
245,ARG.10_1,2006,2036651965.1378598
246,ARG.10_1,2007,2460628948.007466
247,ARG.10_1,2009,3077272371.5027084
248,ARG.10_1,2010,3686998831.460948
249,ARG.10_1,2012,5179852669.1477995
250,ARG.10_1,2013,5421643125.91671
251,ARG.10_1,2016,5065143093.862506
252,ARG.10_1,2017,5815437039.479295
253,ARG.10_1,2019,3847728649.052565
254,ARG.11_1,2000,
255,ARG.11_1,2001,
256,ARG.11_1,2002,
257,ARG.11_1,2003,
258,ARG.11_1,2004,
259,ARG.11_1,2005,
260,ARG.11_1,2006,
261,ARG.11_1,2007,
262,ARG.11_1,2008,
263,ARG.13_1,1991,8880366444.663904
264,ARG.13_1,1992,9949811111.090548
265,ARG.13_1,1993,11801052879.81567
266,ARG.13_1,1994,11970690999.603336
267,ARG.13_1,1995,11632564632.218193
268,ARG.13_1,1996,12376452093.841265
269,ARG.13_1,1997,13562019471.961187
270,ARG.13_1,1998,14018405545.980501
271,ARG.13_1,1999,13887302208.199497
272,ARG.13_1,2000,13816382385.22488
273,ARG.13_1,2001,12129599644.609758
274,ARG.13_1,2002,4672271499.190476
275,ARG.13_1,2003,6549554655.434386
276,ARG.13_1,2004,7911989624.008027
